unit_id,year,season,variable,value
E.001,2010,Annual,rice_area_ha,100
E.001,2011,Annual,rice_area_ha,100
E.001,2012,Annual,rice_area_ha,100
E.001,2013,Annual,rice_area_ha,100
E.001,2014,Annual,rice_area_ha,100
E.001,2015,Annual,rice_area_ha,100
E.001,2010,Annual,rice_production_mt,200
E.001,2011,Annual,rice_production_mt,210
E.001,2012,Annual,rice_production_mt,205
E.001,2013,Annual,rice_production_mt,220
E.001,2014,Annual,rice_production_mt,210
E.001,2015,Annual,rice_production_mt,205
E.011,2014,Annual,rice_area_ha,60
E.011,2015,Annual,rice_area_ha,60
E.011,2016,Annual,rice_area_ha,60
E.011,2017,Annual,rice_area_ha,60
E.011,2018,Annual,rice_area_ha,60
E.011,2019,Annual,rice_area_ha,60
E.011,2020,Annual,rice_area_ha,60
E.011,2014,Annual,rice_production_mt,130
E.011,2015,Annual,rice_production_mt,125
E.011,2016,Annual,rice_production_mt,135
E.011,2017,Annual,rice_production_mt,128
E.011,2018,Annual,rice_production_mt,132
E.011,2019,Annual,rice_production_mt,140
E.011,2020,Annual,rice_production_mt,130
E.012,2014,Annual,rice_area_ha,40
E.012,2015,Annual,rice_area_ha,40
E.012,2016,Annual,rice_area_ha,40
E.012,2017,Annual,rice_area_ha,40
E.012,2018,Annual,rice_area_ha,40
E.012,2019,Annual,rice_area_ha,40
E.012,2020,Annual,rice_area_ha,40
E.012,2014,Annual,rice_production_mt,85
E.012,2015,Annual,rice_production_mt,80
E.012,2016,Annual,rice_production_mt,82
E.012,2017,Annual,rice_production_mt,90
E.012,2018,Annual,rice_production_mt,88
E.012,2019,Annual,rice_production_mt,92
E.012,2020,Annual,rice_production_mt,86
E.002,2010,Annual,rice_area_ha,80
E.002,2011,Annual,rice_area_ha,82
E.002,2012,Annual,rice_area_ha,78
E.002,2013,Annual,rice_area_ha,80
E.002,2014,Annual,rice_area_ha,82
E.002,2015,Annual,rice_area_ha,80
E.002,2016,Annual,rice_area_ha,79
E.002,2017,Annual,rice_area_ha,80
E.002,2018,Annual,rice_area_ha,82
E.002,2019,Annual,rice_area_ha,80
E.002,2020,Annual,rice_area_ha,80
E.002,2010,Annual,rice_production_mt,160
E.002,2011,Annual,rice_production_mt,165
E.002,2012,Annual,rice_production_mt,158
E.002,2013,Annual,rice_production_mt,170
E.002,2014,Annual,rice_production_mt,165
E.002,2015,Annual,rice_production_mt,160
E.002,2016,Annual,rice_production_mt,162
E.002,2017,Annual,rice_production_mt,170
E.002,2018,Annual,rice_production_mt,168
E.002,2019,Annual,rice_production_mt,172
E.002,2020,Annual,rice_production_mt,165
E.003,2010,Annual,rice_area_ha,90
E.003,2011,Annual,rice_area_ha,92
E.003,2012,Annual,rice_area_ha,88
E.003,2013,Annual,rice_area_ha,90
E.003,2014,Annual,rice_area_ha,92
E.003,2015,Annual,rice_area_ha,90
E.003,2016,Annual,rice_area_ha,89
E.003,2017,Annual,rice_area_ha,90
E.003,2018,Annual,rice_area_ha,92
E.003,2019,Annual,rice_area_ha,90
E.003,2020,Annual,rice_area_ha,90
E.003,2010,Annual,rice_production_mt,180
E.003,2011,Annual,rice_production_mt,185
E.003,2012,Annual,rice_production_mt,178
E.003,2013,Annual,rice_production_mt,185
E.003,2014,Annual,rice_production_mt,182
E.003,2015,Annual,rice_production_mt,180
E.003,2016,Annual,rice_production_mt,178
E.003,2017,Annual,rice_production_mt,182
E.003,2018,Annual,rice_production_mt,184
E.003,2019,Annual,rice_production_mt,186
E.003,2020,Annual,rice_production_mt,180
E.004,2010,Annual,rice_area_ha,50
E.004,2011,Annual,rice_area_ha,52
E.004,2012,Annual,rice_area_ha,48
E.004,2013,Annual,rice_area_ha,50
E.004,2014,Annual,rice_area_ha,52
E.004,2015,Annual,rice_area_ha,50
E.004,2016,Annual,rice_area_ha,49
E.004,2017,Annual,rice_area_ha,50
E.004,2010,Annual,rice_production_mt,100
E.004,2011,Annual,rice_production_mt,102
E.004,2012,Annual,rice_production_mt,98
E.004,2013,Annual,rice_production_mt,105
E.004,2014,Annual,rice_production_mt,100
E.004,2015,Annual,rice_production_mt,102
E.004,2016,Annual,rice_production_mt,99
E.004,2017,Annual,rice_production_mt,103
E.005,2010,Annual,rice_area_ha,30
E.005,2011,Annual,rice_area_ha,32
E.005,2012,Annual,rice_area_ha,28
E.005,2013,Annual,rice_area_ha,30
E.005,2014,Annual,rice_area_ha,32
E.005,2015,Annual,rice_area_ha,30
E.005,2016,Annual,rice_area_ha,29
E.005,2017,Annual,rice_area_ha,30
E.005,2010,Annual,rice_production_mt,60
E.005,2011,Annual,rice_production_mt,62
E.005,2012,Annual,rice_production_mt,58
E.005,2013,Annual,rice_production_mt,65
E.005,2014,Annual,rice_production_mt,60
E.005,2015,Annual,rice_production_mt,62
E.005,2016,Annual,rice_production_mt,59
E.005,2017,Annual,rice_production_mt,63
E.013,2018,Annual,rice_area_ha,80
E.013,2019,Annual,rice_area_ha,82
E.013,2020,Annual,rice_area_ha,80
E.013,2018,Annual,rice_production_mt,165
E.013,2019,Annual,rice_production_mt,170
E.013,2020,Annual,rice_production_mt,168
