unit_id,name,year,coarse_id,coarse_name
IN.ADM2.00001,Andamans,1991,IN.ADM1.00001,Andaman And Nicobar Islands
IN.ADM2.00002,Nicobars,1991,IN.ADM1.00001,Andaman And Nicobar Islands
IN.ADM2.00003,Adilabad,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00004,Anantapur,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00005,Chittoor,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00006,Cuddapah,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00007,East Godavari,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00008,Guntur,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00009,Hyderabad,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00010,Karimnagar,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00011,Khammam,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00012,Krishna,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00013,Kurnool,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00014,Mahbubnagar,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00015,Medak,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00016,Nalgonda,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00017,Nellore,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00018,Nizamabad,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00019,Prakasam,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00020,Rangareddi,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00021,Srikakulam,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00022,Visakhapatnam,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00023,Vizianagaram,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00024,Warangal,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00025,West Godavari,1991,IN.ADM1.00002,Andhra Pradesh
IN.ADM2.00026,Changlang,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00027,Dibang Valley,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00028,East Kameng,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00029,East Siang,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00030,Lohit,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00031,Lower Subansiri,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00032,Tawang,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00033,Tirap,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00034,Upper Subansiri,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00035,West Kameng,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00036,West Siang,1991,IN.ADM1.00003,Arunachal Pradesh
IN.ADM2.00037,Barpeta,1991,IN.ADM1.00004,Assam
IN.ADM2.00038,Bongaigaon,1991,IN.ADM1.00004,Assam
IN.ADM2.00039,Cachar,1991,IN.ADM1.00004,Assam
IN.ADM2.00040,Darrang,1991,IN.ADM1.00004,Assam
IN.ADM2.00041,Dhemaji,1991,IN.ADM1.00004,Assam
IN.ADM2.00042,Dhubri,1991,IN.ADM1.00004,Assam
IN.ADM2.00043,Dibrugarh,1991,IN.ADM1.00004,Assam
IN.ADM2.00044,Goalpara,1991,IN.ADM1.00004,Assam
IN.ADM2.00045,Golaghat,1991,IN.ADM1.00004,Assam
IN.ADM2.00046,Hailakandi,1991,IN.ADM1.00004,Assam
IN.ADM2.00047,Jorhat,1991,IN.ADM1.00004,Assam
IN.ADM2.00048,Kamrup,1991,IN.ADM1.00004,Assam
IN.ADM2.00049,Karbi Anglong,1991,IN.ADM1.00004,Assam
IN.ADM2.00050,Karimganj,1991,IN.ADM1.00004,Assam
IN.ADM2.00051,Kokrajhar,1991,IN.ADM1.00004,Assam
IN.ADM2.00052,Lakhimpur,1991,IN.ADM1.00004,Assam
IN.ADM2.00053,Marigaon,1991,IN.ADM1.00004,Assam
IN.ADM2.00054,Nagaon,1991,IN.ADM1.00004,Assam
IN.ADM2.00055,Nalbari,1991,IN.ADM1.00004,Assam
IN.ADM2.00056,North Cachar Hills,1991,IN.ADM1.00004,Assam
IN.ADM2.00057,Sibsagar,1991,IN.ADM1.00004,Assam
IN.ADM2.00058,Sonitpur,1991,IN.ADM1.00004,Assam
IN.ADM2.00059,Tinsukia,1991,IN.ADM1.00004,Assam
IN.ADM2.00060,Araria,1991,IN.ADM1.00005,Bihar
IN.ADM2.00061,Aurangabad,1991,IN.ADM1.00005,Bihar
IN.ADM2.00062,Begusarai,1991,IN.ADM1.00005,Bihar
IN.ADM2.00063,Bhagalpur,1991,IN.ADM1.00005,Bihar
IN.ADM2.00064,Bhojpur,1991,IN.ADM1.00005,Bihar
IN.ADM2.00065,Darbhanga,1991,IN.ADM1.00005,Bihar
IN.ADM2.00066,Deoghar,1991,IN.ADM1.00005,Bihar
IN.ADM2.00067,Dhanbad,1991,IN.ADM1.00005,Bihar
IN.ADM2.00068,Dumka,1991,IN.ADM1.00005,Bihar
IN.ADM2.00069,Gaya,1991,IN.ADM1.00005,Bihar
IN.ADM2.00070,Giridih,1991,IN.ADM1.00005,Bihar
IN.ADM2.00071,Godda,1991,IN.ADM1.00005,Bihar
IN.ADM2.00072,Gopalganj,1991,IN.ADM1.00005,Bihar
IN.ADM2.00073,Gumla,1991,IN.ADM1.00005,Bihar
IN.ADM2.00074,Hazaribag,1991,IN.ADM1.00005,Bihar
IN.ADM2.00075,Jehanabad,1991,IN.ADM1.00005,Bihar
IN.ADM2.00076,Katihar,1991,IN.ADM1.00005,Bihar
IN.ADM2.00077,Khagaria,1991,IN.ADM1.00005,Bihar
IN.ADM2.00078,Kishanganj,1991,IN.ADM1.00005,Bihar
IN.ADM2.00079,Lohardaga,1991,IN.ADM1.00005,Bihar
IN.ADM2.00080,Madhepura,1991,IN.ADM1.00005,Bihar
IN.ADM2.00081,Madhubani,1991,IN.ADM1.00005,Bihar
IN.ADM2.00082,Munger,1991,IN.ADM1.00005,Bihar
IN.ADM2.00083,Muzaffarpur,1991,IN.ADM1.00005,Bihar
IN.ADM2.00084,Nalanda,1991,IN.ADM1.00005,Bihar
IN.ADM2.00085,Nawada,1991,IN.ADM1.00005,Bihar
IN.ADM2.00086,Palamu,1991,IN.ADM1.00005,Bihar
IN.ADM2.00087,Pashchim Champaran,1991,IN.ADM1.00005,Bihar
IN.ADM2.00088,Pashchimi Singhbhum,1991,IN.ADM1.00005,Bihar
IN.ADM2.00089,Patna,1991,IN.ADM1.00005,Bihar
IN.ADM2.00090,Purba Champaran,1991,IN.ADM1.00005,Bihar
IN.ADM2.00091,Purbi Singhbhum,1991,IN.ADM1.00005,Bihar
IN.ADM2.00092,Purnia,1991,IN.ADM1.00005,Bihar
IN.ADM2.00093,Ranchi,1991,IN.ADM1.00005,Bihar
IN.ADM2.00094,Rohtas,1991,IN.ADM1.00005,Bihar
IN.ADM2.00095,Saharsa,1991,IN.ADM1.00005,Bihar
IN.ADM2.00096,Sahibganj,1991,IN.ADM1.00005,Bihar
IN.ADM2.00097,Samastipur,1991,IN.ADM1.00005,Bihar
IN.ADM2.00098,Saran,1991,IN.ADM1.00005,Bihar
IN.ADM2.00099,Sitamarhi,1991,IN.ADM1.00005,Bihar
IN.ADM2.00100,Siwan,1991,IN.ADM1.00005,Bihar
IN.ADM2.00101,Vaishali,1991,IN.ADM1.00005,Bihar
IN.ADM2.00102,Chandigarh,1991,IN.ADM1.00006,Chandigarh
IN.ADM2.00103,Dadra And Nagar Haveli,1991,IN.ADM1.00007,Dadra And Nagar Haveli
IN.ADM2.00104,Daman,1991,IN.ADM1.00008,Daman And Diu
IN.ADM2.00105,Diu,1991,IN.ADM1.00008,Daman And Diu
IN.ADM2.00106,Delhi,1991,IN.ADM1.00009,Delhi
IN.ADM2.00107,North Goa,1991,IN.ADM1.00010,Goa
IN.ADM2.00108,South Goa,1991,IN.ADM1.00010,Goa
IN.ADM2.00109,Amreli,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00110,Banas Kantha,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00111,Bharuch,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00112,Bhavnagar,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00113,Gandhinagar,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00114,Jamnagar,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00115,Junagadh,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00116,Kachchh,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00117,Kheda,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00118,Mahesana,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00119,Panch Mahals,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00120,Rajkot,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00121,Sabar Kantha,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00122,Surendranagar,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00123,The Dangs,1991,IN.ADM1.00011,Gujarat
IN.ADM2.00124,Valsad,1991,IN.ADM1.00011,Gujarat
